"","x"
"1","19-14856"
"2","16-8048"
"3","19-16136"
"4","19-14617"
"5","19-6704"
"6","19-21848"
"7","19-13978"
"8","18-14535"
"9","18MSFRS-18"
"10","19-27565"
"11","19-10123"
"12","19-14845"
"13","19-18837"
"14","19-14933"
"15","19-20348"
"16","19-21760"
"17","19-15327"
"18","18-842"
"19","US17-IL-111-005"
"20","18-22767"
"21","19-3528"
"22","19-18153"
"23","19-22742"
"24","19-12830"
"25","19-4014"
"26","19-13942"
"27","19-26709"
"28","19-16129"
"29","US16-IL-063-063"
"30","19-21821"
"31","19-25126"
"32","19-25245"
"33","19-6637"
"34","19-4151"
"35","19-22757"
"36","19-18826"
"37","19-3510"
"38","19-13414"
"39","19-17662"
"40","US17-IL-111-006"
"41","19-23350"
"42","19-23833"
"43","19-8870"
"44","19-5152"
"45","19-13961"
"46","19-13447"
"47","19-16152"
"48","19-13048"
"49","18-26037"
"50","19-21829"
"51","18-4910"
"52","18-7928"
"53","18-13765"
"54","19-3538"
"55","19-5632"
"56","07-19334"
"57","19-13936"
"58","19-18725"
"59","19-20402"
"60","19-8871"
"61","19-25469"
"62","19-12615"
"63","19-15330"
"64","19-15017"
"65","18-15372"
"66","US16-IL-061-068"
"67","19-14605"
"68","19-13713"
"69","19-19205"
"70","19-23251"
"71","19-21467"
"72","18-6852"
"73","19-24061"
"74","18-17905"
"75","19-5122"
"76","19-17546"
"77","19-16856"
"78","18-5737"
"79","19-22105"
"80","19-23336"
"81","18-12756"
"82","19-18156"
"83","US16-IL-061-032"
"84","18-23760"
"85","19-12926"
"86","19-25764"
"87","19-19146"
"88","18-22976"
"89","18-6274"
"90","19-3943"
"91","US16-IL-063-026"
"92","19-5466"
"93","19-23855"
"94","19-21865"
"95","19-18957"
"96","19-18152"
"97","19-6946"
"98","18-22132"
"99","19-27478"
"100","18-13748"
"101","18-12001"
"102","18-23224"
"103","19-24051"
"104","19-12659"
"105","19-4176"
"106","US17-IL-108-039"
"107","19-27466"
"108","19-11770"
"109","19-11773"
"110","19-21924"
"111","19-18157"
"112","19-16279"
"113","19-17823"
"114","19-4238"
"115","19-3502"
"116","19-13451"
"117","19-20069"
"118","19-16176"
"119","19-25464"
"120","19-16142"
"121","19-24076"
"122","19-12420"
"123","19-20648"
"124","US17-IL-108-070"
"125","18-5837"
"126","19-10151"
"127","18-12809"
"128","19-13706"
"129","19-8909"
"130","19-16325"
"131","18-9724"
"132","19-16368"
"133","19-21846"
"134","19-26456"
"135","19-8449"
"136","18-13852"
"137","19-10142"
"138","19-3505"
"139","18-7943"
"140","19-13707"
"141","2020-17110"
"142","19-17051"
"143","19-6308"
"144","18-13756"
"145","18-17119"
"146","19-25743"
"147","19-10168"
"148","19-9608"
"149","2020-15209"
"150","19-13434"
"151","18-13965"
"152","17-8930"
"153","19-25145"
"154","19-10136"
"155","19-5041"
"156","19-19159"
"157","19-21574"
"158","19-10236"
"159","19-10173"
"160","19-18832"
"161","19-13752"
"162","19-13748"
"163","18-16828"
"164","19-5009"
"165","2020-15546"
"166","19-27944"
"167","19-12849"
"168","2020-16523"
"169","19-13778"
"170","Kaskaskia"
"171","12-26004"
"172","19-11163"
"173","19-17467"
"174","Pio 25R74"
"175","US17-IL-108-067-3"
"176","IL2021-18531"
