"","Blv_22","War_22","Msn_22","Blk_22","Lex_22","Add_22","Neo_22","Stp_22","Urb_22","Stj_21","Neo_21","Urb_21","Urb_20","Stj_20","Car_20","Neo_20"
"Blv_22",1,0.16,0.18,0.22,0.2,0.27,0.22,0.16,0.15,0.34,0.33,0.25,0.24,0.33,0.33,0.24
"War_22",0.16,1,0.24,0.81,0.66,0.26,0.57,0.32,0.56,0.53,0.22,0.28,0.37,0.22,0.65,0.03
"Msn_22",0.18,0.24,1,0.34,0.31,0.43,0.35,0.24,0.23,0.53,0.52,0.39,0.37,0.52,0.51,0.38
"Blk_22",0.22,0.81,0.34,1,0.71,0.41,0.65,0.39,0.59,0.7,0.42,0.42,0.49,0.43,0.79,0.2
"Lex_22",0.2,0.66,0.31,0.71,1,0.4,0.57,0.34,0.49,0.63,0.42,0.39,0.44,0.42,0.7,0.22
"Add_22",0.27,0.26,0.43,0.41,0.4,1,0.47,0.34,0.27,0.78,0.8,0.59,0.55,0.8,0.73,0.62
"Neo_22",0.22,0.57,0.35,0.65,0.57,0.47,1,0.35,0.45,0.69,0.53,0.45,0.48,0.53,0.73,0.33
"Stp_22",0.16,0.32,0.24,0.39,0.34,0.34,0.35,1,0.26,0.47,0.39,0.32,0.33,0.39,0.48,0.26
"Urb_22",0.15,0.56,0.23,0.59,0.49,0.27,0.45,0.26,1,0.47,0.27,0.28,0.33,0.28,0.54,0.12
"Stj_21",0.34,0.53,0.53,0.7,0.63,0.78,0.69,0.47,0.47,1,0.93,0.72,0.7,0.93,0.98,0.67
"Neo_21",0.33,0.22,0.52,0.42,0.42,0.8,0.53,0.39,0.27,0.93,1,0.72,0.65,1,0.85,0.79
"Urb_21",0.25,0.28,0.39,0.42,0.39,0.59,0.45,0.32,0.28,0.72,0.72,1,0.51,0.72,0.68,0.54
"Urb_20",0.24,0.37,0.37,0.49,0.44,0.55,0.48,0.33,0.33,0.7,0.65,0.51,1,0.65,0.69,0.47
"Stj_20",0.33,0.22,0.52,0.43,0.42,0.8,0.53,0.39,0.28,0.93,1,0.72,0.65,1,0.85,0.79
"Car_20",0.33,0.65,0.51,0.79,0.7,0.73,0.73,0.48,0.54,0.98,0.85,0.68,0.69,0.85,1,0.58
"Neo_20",0.24,0.03,0.38,0.2,0.22,0.62,0.33,0.26,0.12,0.67,0.79,0.54,0.47,0.79,0.58,1
